Title,Published_date,Views,Likes,Categories,Comments,Category_id,Source,Title_id
ABSOLUTE CINEMA | MARVEL STUDIOS’ THUNDERBOLTS* | MAY 2,2024-11-20,2504663,115078,Entertainment,6079,24,YoutubeAPI,163
"Sometimes, the peace needs to be broken.",2024-11-20,38822,5006,Entertainment,47,24,YoutubeAPI,164
Infinity Stones in the MCU | Compilation,2024-11-20,559806,15591,Entertainment,452,24,YoutubeAPI,165
Marvel Television's Daredevil: Born Again | Lights Out | Disney+,2024-11-20,138446,6163,Entertainment,327,24,YoutubeAPI,166
Kingpin Returns in Daredevil: Born Again!,2024-11-20,31355,1318,Entertainment,66,24,YoutubeAPI,167
Fight the darkness.,2024-11-20,42066,5761,Entertainment,84,24,YoutubeAPI,168
To the fans who've been there every step of the way. ❤️,2024-11-20,33256,5726,Entertainment,195,24,YoutubeAPI,169
A Conversation with Anthony Mackie and Harrison Ford | Captain America: Brave New World,2024-11-20,64803,2435,Entertainment,199,24,YoutubeAPI,170
Marvel Television's Daredevil: Born Again | Tonight | Disney+,2024-11-20,300729,13208,Entertainment,572,24,YoutubeAPI,171
Marvel Television's Daredevil: Born Again | Tomorrow | Disney+,2024-11-20,990114,31945,Entertainment,1516,24,YoutubeAPI,172
Natasha and Yelena Best Moments | Compilation,2024-11-20,37968,2529,Entertainment,148,24,YoutubeAPI,173
Avocados back at law.,2024-11-20,55512,5835,Entertainment,102,24,YoutubeAPI,174
The greatest city on Earth.,2024-11-20,64069,7140,Entertainment,91,24,YoutubeAPI,175
Captain America: Brave New World | Official Clip 'Cap VS Hulk',2024-11-20,527934,8835,Entertainment,837,24,YoutubeAPI,176
Captain America: Brave New World | Behind the Scenes,2024-11-20,67434,2867,Entertainment,204,24,YoutubeAPI,177
Marvel Television's Daredevil: Born Again | Meet | Disney+,2024-11-20,94833,5565,Entertainment,202,24,YoutubeAPI,178
Captain America: Brave New World | Global Tour,2024-11-20,26088,2987,Entertainment,48,24,YoutubeAPI,179
Groot's Sacrifice | Marvel Studios' Guardians of the Galaxy | Official Clip,2024-11-20,71172,1854,Entertainment,109,24,YoutubeAPI,180
The rule of law must prevail,2024-11-20,61949,7361,Entertainment,154,24,YoutubeAPI,181
Marvel Television's Daredevil: Born Again | Threat | Disney+,2024-11-20,228467,10262,Entertainment,378,24,YoutubeAPI,182
Captain America: Brave New World Spoilers with Anthony Mackie,2024-11-20,20489,672,Entertainment,66,24,YoutubeAPI,183
Captain America: Brave New World | Official Clip 'Missiles Inbound',2024-11-20,351903,6166,Entertainment,588,24,YoutubeAPI,184
Yelena and Natasha vs Taskmaster Chase Scene | Black Widow | Official Clip,2024-11-20,219509,4040,Entertainment,230,24,YoutubeAPI,185
Avengers Try to Lift Mjolnir!,2024-11-20,67112,6851,Entertainment,114,24,YoutubeAPI,186
Fear and righteousness,2024-11-20,40441,5096,Entertainment,68,24,YoutubeAPI,187
Marvel Television's Daredevil: Born Again | Intense | Disney+,2024-11-20,366966,15071,Entertainment,877,24,YoutubeAPI,188
Danny Ramirez looks back on some of his memories ⚽️,2024-11-20,25974,2570,Entertainment,36,24,YoutubeAPI,189
A really good lawyer and Peter 3 walk into a restaurant...,2024-11-20,224425,13727,Entertainment,95,24,YoutubeAPI,190
Best of the Daredevil: Born Again Red Carpet ❤️,2024-11-20,118382,6848,Entertainment,526,24,YoutubeAPI,191
An epic night in NYC with Daredevil!,2024-11-20,33664,5254,Entertainment,78,24,YoutubeAPI,192
It has pockets!,2024-11-20,31103,3614,Entertainment,41,24,YoutubeAPI,193
Marvel Television's Daredevil: Born Again | Daredevil in NYC | Disney+,2024-11-20,203024,10054,Entertainment,423,24,YoutubeAPI,194
We want you at Oscorp!,2024-11-20,29364,2970,Entertainment,116,24,YoutubeAPI,195
Avengers Try to Lift Mjolnir | Avengers: Age of Ultron | Official Clip,2024-11-20,259164,7097,Entertainment,597,24,YoutubeAPI,196
Yelena's Vest Has Pockets! | Black Widow | Official Clip,2024-11-20,78608,3825,Entertainment,180,24,YoutubeAPI,197
Can Fit in Your Closet...,2024-11-20,1038773,17244,Science & Technology,357,28,YoutubeAPI,198
Massage Your Mouth...,2024-11-20,920107,5975,Science & Technology,46,28,YoutubeAPI,199
The Ultimate Limited Edition Gaming Phone,2024-11-20,1009979,23567,Science & Technology,766,28,YoutubeAPI,200
The Unbelievably Thin Folding Smartphone...,2024-11-20,1199349,25059,Science & Technology,820,28,YoutubeAPI,201
Astonishing New Music Gadget...,2024-11-20,983456,17947,Science & Technology,168,28,YoutubeAPI,202
The BIGGEST Smartphone Screen Ever?,2024-11-20,1021581,19108,Science & Technology,1169,28,YoutubeAPI,203
The Rarest Sony PlayStation EVER...,2024-11-20,927014,20917,Science & Technology,1106,28,YoutubeAPI,204
The New DJI Smartphone Accessory,2024-11-20,1182538,11574,Science & Technology,35,28,YoutubeAPI,205
iPhone 16E Hands On with Demo Units (iPhone SE 2025),2024-11-20,1381963,17115,Science & Technology,1492,28,YoutubeAPI,206
Xiaomi 14T and 14T Pro with Google Gemini,2024-11-20,1237397,12459,Science & Technology,252,28,YoutubeAPI,207
Your Eyes Can't See It...,2024-11-20,969178,5133,Science & Technology,33,28,YoutubeAPI,208
It Clones Your Voice...,2024-11-20,975125,9096,Science & Technology,95,28,YoutubeAPI,209
The New Ultralight 249g DJI Flip Drone,2024-11-20,1469286,9433,Science & Technology,57,28,YoutubeAPI,210
An Absolute Powerhouse,2024-11-20,1088350,8557,Science & Technology,37,28,YoutubeAPI,211
The New MSI Mini PC...,2024-11-20,984177,10766,Science & Technology,48,28,YoutubeAPI,212
Samsung Galaxy S25 Ultra Unboxing vs S25 Plus vs S25 (UNBOXING ALL COLORS),2024-11-20,1261406,27910,Science & Technology,1624,28,YoutubeAPI,213
300 inches… and it is bright,2024-11-20,1193155,7944,Science & Technology,32,28,YoutubeAPI,214
Practically Invisible Smart Glasses...The Even Realities G1,2024-11-20,1169714,17750,Science & Technology,532,28,YoutubeAPI,215
Honda 0 Series In Depth Tour (Honda 0 Saloon and SUV),2024-11-20,1444711,28097,Science & Technology,1778,28,YoutubeAPI,216
The Future is Here...,2024-11-20,288826,4347,Science & Technology,103,28,YoutubeAPI,217
Take Your iPhone to Another Level,2024-11-20,1393973,14612,Science & Technology,132,28,YoutubeAPI,218
Robots are getting wild…,2024-11-20,903404,8191,Science & Technology,34,28,YoutubeAPI,219
A Personalized Laptop Experience...,2024-11-20,936503,8018,Science & Technology,30,28,YoutubeAPI,220
