Title,Published_date,Views,Likes,Categories,Comments,Category_id,Source,Title_id
Two arrested in New Mexico mass shooting,2025-03-22,2742,22,News & Politics,5,25,YoutubeAPI,1052
"Israeli strikes in Lebanon kill 7, officials say",2025-03-22,15791,150,News & Politics,51,25,YoutubeAPI,1053
Pope Francis makes first public appearance since hospital stay,2025-03-22,4524,79,News & Politics,8,25,YoutubeAPI,1054
2 arrested after deadly New Mexico mass shooting,2025-03-22,50563,541,News & Politics,321,25,YoutubeAPI,1055
"This Week with George Stephanopoulos Full Broadcast - Sunday, Mar. 23",2025-03-22,173529,1888,News & Politics,974,25,YoutubeAPI,1056
"Good Morning America Full Broadcast — Sunday, March 23, 2025",2025-03-22,44785,353,News & Politics,46,25,YoutubeAPI,1057
Sanders says his rallies are meant to empower voters to 'not sit idly by',2025-03-22,92079,3574,News & Politics,1794,25,YoutubeAPI,1058
El Salvador deportations were ‘exactly in accordance with federal law’: Border czar,2025-03-22,78086,1032,News & Politics,1564,25,YoutubeAPI,1059
World Doula Week kicks off,2025-03-22,411,14,News & Politics,1,25,YoutubeAPI,1060
The upsets and must-watch games in March Madness,2025-03-22,901,9,News & Politics,1,25,YoutubeAPI,1061
IRS close to reaching deal to aid Trump administration’s deportation efforts: Sources,2025-03-22,32965,85,News & Politics,194,25,YoutubeAPI,1062
Israel launches strikes on Hezbollah,2025-03-22,31873,290,News & Politics,90,25,YoutubeAPI,1063
Deadly mass shooting at New Mexico park,2025-03-22,56232,448,News & Politics,430,25,YoutubeAPI,1064
Pope Francis makes 1st public appearance in 5 weeks,2025-03-22,17904,429,News & Politics,135,25,YoutubeAPI,1065
"Office uses robots, AI to make their March Madness picks",2025-03-22,1302,16,News & Politics,11,25,YoutubeAPI,1066
Diver almost gets smacked by whale's tail,2025-03-22,8125,417,News & Politics,14,25,YoutubeAPI,1067
Is the Trump administration's conflict with judges a constitutional crisis?,2025-03-22,18069,270,News & Politics,354,25,YoutubeAPI,1068
"ABC World News Tonight with David Muir Full Broadcast - March 22, 2025",2025-03-22,715510,7133,News & Politics,1071,25,YoutubeAPI,1069
